Date,SPY,ES,EA,V,PFE,C,CTSH,SBUX,COST,BA
11/1/18,273.730011,67.040001,85.970001,139.928757,43.176815,64.506012,70.130005,67.795998,230.472168,334.405792
10/1/18,270.630005,63.259998,90.980003,137.602951,42.730263,65.012527,68.833694,57.958813,228.087845,353.228851
9/1/18,289.409912,60.9398,120.489998,149.820999,43.732529,71.249596,76.930611,56.536449,234.323013,370.190552
8/1/18,289.00174,61.921745,113.410004,146.406677,40.854187,70.309822,77.998161,52.796986,232.001251,339.536652
7/1/18,280.062195,60.225666,128.75,136.29007,39.289684,70.95134,81.051254,51.749935,217.651077,352.918396
6/1/18,268.85025,58.132843,141.020004,132.014175,35.698212,66.046234,78.555077,48.253185,207.96817,332.325745
5/1/18,268.513306,56.12048,130.910004,130.080841,35.012051,65.509224,74.540703,55.686447,196.706573,347.086273
4/1/18,262.1409,59.23719,117.980003,126.259613,35.674679,67.061241,80.941208,56.570831,195.634933,328.754242
3/1/18,259.752716,57.41721,121.239998,119.035126,34.583294,66.304886,79.635384,56.885277,186.972443,323.156097
2/1/18,268.143005,55.546181,123.699997,122.126266,35.05756,73.853806,80.940048,55.806293,188.917801,355.237885
1/1/18,278.260712,61.480854,126.959999,123.40773,35.762379,76.778999,76.953247,55.522869,192.846573,347.548798
12/1/17,262.075256,61.117107,105.059998,113.265305,34.970665,72.797218,70.084885,56.128815,184.187439,289.233368
11/1/17,260.258484,62.732574,106.349998,111.64695,34.692276,73.54734,71.186363,56.212196,181.974991,270.020386
10/1/17,252.539352,60.594734,119.599998,109.058815,33.544159,71.599075,74.525063,53.31506,158.935837,251.661331
9/1/17,245.507111,58.024765,118.059998,104.358513,34.15649,70.858727,71.442421,52.216484,162.103088,247.983688
8/1/17,241.85231,60.482468,121.5,102.487877,32.139503,65.965057,69.550674,53.094818,154.160706,232.4039
7/1/17,241.148727,58.360779,116.739998,98.567375,31.419397,66.372299,68.125656,52.243137,155.90155,235.119141
6/1/17,235.145218,58.283974,105.720001,92.844994,31.82683,64.84996,65.255966,56.433811,157.298203,191.762802
5/1/17,234.79512,59.131916,113.330002,94.113541,30.639597,58.702404,65.604263,61.310726,170.073349,180.566895
4/1/17,231.527603,56.588303,94.82,90.150543,31.831396,57.17289,59.054615,57.889046,167.330444,177.872284
3/1/17,228.258987,55.997646,89.519997,87.828102,32.103546,57.849834,58.358479,56.279408,158.064651,170.202301
2/1/17,228.96582,55.431271,86.5,86.743904,31.696173,57.675053,58.11335,54.568455,166.561295,171.966187
1/1/17,220.309525,52.275116,83.43,81.585022,29.47595,53.837128,51.563713,52.985237,154.124191,155.926971
12/1/16,215.168304,50.386555,78.760002,76.958809,29.448084,57.30862,54.75029,53.27309,150.514343,148.54184
11/1/16,212.136139,48.38084,79.239998,76.10817,29.561987,54.197891,54.005119,55.36747,140.680664,141.469086
10/1/16,204.59903,51.60498,78.519997,81.216827,29.166479,47.239342,50.347904,50.68745,138.58136,133.829971
9/1/16,207.162247,50.359406,85.400002,81.403847,31.153223,45.393974,46.778938,51.709419,142.929886,123.785446
8/1/16,208.196609,50.164211,81.230003,79.49411,31.744749,45.884151,56.319065,53.519211,151.500885,120.634003
7/1/16,207.947586,54.365471,76.32,76.693626,33.651253,41.954815,56.368084,55.251461,156.295746,124.557304
6/1/16,199.59198,55.676041,75.760002,72.88105,32.118748,40.594948,56.122967,54.366302,146.780792,121.025414
5/1/16,199.934998,50.92387,76.75,77.431061,31.37258,44.597935,60.241005,52.061642,139.051071,116.607613
4/1/16,196.590652,52.030106,61.849998,75.763542,29.5734,44.273388,57.230911,53.332603,138.044601,124.603294
3/1/16,194.814468,53.781651,66.110001,75.018082,26.797787,39.939804,61.476414,56.623795,146.851212,117.337852
2/1/16,183.477463,49.650604,64.239998,70.721237,26.557909,37.165543,55.868042,55.030731,139.43721,108.238869
1/1/16,183.629166,49.19342,64.550003,72.77282,27.291897,40.683613,62.074512,57.450909,140.450241,110.024818
12/1/15,192.107529,46.313698,68.720001,75.762291,28.894144,49.445194,58.848717,56.751331,150.097366,132.427307
11/1/15,196.64946,46.204876,67.790001,77.05014,29.097885,51.680984,63.319721,57.849743,149.636261,132.396347
10/1/15,196.837891,46.195797,72.07,75.655617,30.030218,50.755547,66.780838,58.961689,146.577179,134.781219
9/1/15,179.601776,45.487785,67.75,67.932091,27.890282,47.357204,61.388168,53.562134,134.016327,119.197685
8/1/15,186.69809,43.663597,67.160004,69.417664,29.303976,51.051472,61.711731,52.578491,129.470337,118.1978
7/1/15,197.281662,44.679028,71.550003,73.351006,31.770939,55.757977,61.868607,54.439178,134.323746,130.399261
6/1/15,192.072342,40.806,66.5,65.37722,29.541857,52.686806,59.897831,50.388893,124.857277,125.469841
5/1/15,196.970016,43.879593,62.759998,66.750015,30.365501,51.53159,63.456993,48.674061,131.818466,126.288597
4/1/15,194.469864,43.44302,58.09,64.193924,29.648956,50.8074,57.397598,46.444576,131.882904,128.822998
3/1/15,191.72049,45.011108,58.82,63.571907,30.400454,49.092224,61.172462,44.355595,139.673248,134.880386
2/1/15,195.649094,45.741096,57.18,65.443039,29.727505,49.94981,61.270519,43.470356,130.828796,134.739059
1/1/15,185.237854,49.126377,54.860001,61.487167,27.068314,44.728073,53.073654,40.699116,127.294548,129.84433
12/1/14,189.846146,46.945629,47.02,63.245613,26.981697,51.549225,51.632339,38.151066,126.190659,116.097992
11/1/14,191.379456,44.419407,43.93,61.799538,26.750019,51.415855,52.93639,37.449814,126.192322,119.314026
10/1/14,186.262466,43.287861,40.970001,57.787914,25.719522,50.986984,47.896694,34.844334,118.422935,110.922241
9/1/14,181.129898,38.522358,35.610001,51.07156,25.3932,49.358223,43.89632,34.798214,111.275146,113.115646
8/1/14,184.522308,39.904987,37.84,50.481094,25.238621,49.196304,44.837578,35.641258,107.510315,111.922791
7/1/14,177.5168,38.174526,33.599998,50.122417,24.430544,46.577148,48.0928,35.581707,104.051628,106.344276
6/1/14,179.076904,41.105007,35.869999,50.051163,25.264759,44.853477,47.955528,35.444294,101.944748,112.302338
5/1/14,176.29541,39.136219,35.130001,50.644783,24.999367,45.291615,47.661381,33.301964,102.392525,118.71524
4/1/14,172.297028,40.739601,28.299999,47.763992,26.39151,45.615314,46.975044,32.110661,102.092461,113.24688
3/1/14,170.356049,39.22242,29.01,50.887596,27.100225,45.320175,49.612545,33.36562,98.562302,110.148438
2/1/14,169.70018,37.977268,28.59,52.880581,26.867748,46.300835,51.014637,32.021996,102.803024,112.52446
1/1/14,162.312393,37.421909,26.4,50.420746,25.436918,45.148926,47.509407,32.094193,98.895088,109.329895
12/1/13,167.333969,35.893005,22.940001,52.117588,25.629374,49.603848,49.504688,35.37492,104.756966,119.131706